date,guest,extra
5/1/2002,Robin Roberts,
5/2/2002,Willem Defoe,
5/6/2002,Simon Baker,
5/7/2002,Mark Bowden,
5/8/2002,Diane Lane,
5/9/2002,David Boreanaz,
5/13/2002,Moby,
5/14/2002,Liev Schreiber,
5/15/2002,Rupert Everett,
5/16/2002,Allison Janney,
5/23/2002,Matt Walsh Goes To Hawaii,
6/3/2002,Colin Firth,
6/4/2002,Ashleigh Banfield,
6/5/2002,Adam Carolla & Jimmy Kimmel,
6/6/2002,Christopher Whitcomb,
6/10/2002,Charles Grodin,
6/11/2002,Val Kilmer,
6/12/2002,Michael Bloomberg,
6/13/2002,Joseph Cirincione,
6/17/2002,Freddie Prinze Jr.,
6/18/2002,Christian Slater,
6/19/2002,Cynthia McFadden,
6/20/2002,David Cross & Bob Odenkirk,
6/24/2002,Colin Farrell,
6/25/2002,David Scheffer,
6/26/2002,Paul Sorvino,
6/27/2002,Clint Mathis,
7/8/2002,Adam Sandler,
7/9/2002,John King,
7/10/2002,Busta Rhymes,
7/11/2002,Steve Irwin,
7/15/2002,John Ritter,
7/16/2002,Michelle Williams,
7/17/2002,Ann Coulter,
7/18/2002,Natasha Henstridge,
7/22/2002,Regis Philbin,
7/23/2002,Tim Blake Nelson,
7/24/2002,Steven Weber,
7/25/2002,Seth Green,
7/29/2002,Cynthia Nixon,
7/30/2002,Robert Wagner,
7/31/2002,Martin Lawrence,
8/1/2002,Mike Myers,
8/5/2002,Charles Schumer,
8/6/2002,Antonio Banderas,
8/7/2002,Vin Diesel,
8/8/2002,Paul Rudd,
8/12/2002,Michael C. Hall,
8/13/2002,Scott Ritter,
8/14/2002,Kevin Nealon,
8/15/2002,Rich Eisen,
8/19/2002,Denis Leary,
8/20/2002,Jim Lehrer,
8/21/2002,Robin Williams,
8/22/2002,Matthew Perry,
9/9/2002,Lorraine Bracco,
9/10/2002,Zach Braff,
9/12/2002,Sarah Vowell,
9/16/2002,John Miller,
9/17/2002,Jason Lee,
9/18/2002,Damon Wayans,
9/19/2002,Djimon Hounsou,
9/24/2002,Kate Hudson,
9/25/2002,George Stephanopoulos,
9/26/2002,Goldie Hawn,
9/30/2002,Bonnie Hunt,
10/1/2002,Patrick Dempsey,
10/2/2002,David Schwimmer,
10/3/2002,Rita Wilson,
10/7/2002,Jake Gyllenhaal,
10/8/2002,Jill Hennessy,
10/9/2002,Peter Jennings,
10/10/2002,Oliver North,
10/14/2002,Road to Washington Special,
10/15/2002,Judy Woodruff,
10/16/2002,Richard Lewis,
10/17/2002,Greg Kinnear,
10/28/2002,Sen. John Edwards,
10/29/2002,Victoria Clark,
10/30/2002,Pat Buchanan,
10/31/2002,Ted Koppel,
11/4/2002,Christina Aguilera,
11/5/2002,Live Election Night Special,
11/6/2002,Candy Crowley,
11/7/2002,Jakob Dylan,
11/12/2002,Alexandria Pelosi,
11/13/2002,Kiefer Sutherland,
11/14/2002,Tom Arnold,
11/18/2002,Ja Rule,
11/19/2002,Rep. Harold Ford,
11/20/2002,Catherine Crier,
11/21/2002,Kevin James,
12/2/2002,Andy Richter,
12/3/2002,Katrina Vanden Heuvel,
12/4/2002,Colin Quinn,
12/5/2002,Rob Schneider,
12/9/2002,Al Gore,
12/10/2002,Tom Brokaw,
12/11/2002,Sandra Bullock,
12/12/2002,Anna Paquin,
12/16/2002,Sen. Charles Schumer,
12/17/2002,Charles Barkley,
12/18/2002,Edward Norton,
12/19/2002,John Cusack,
1/7/2003,Cameron Diaz,
1/8/2003,Ray Liotta,
1/9/2003,Philip Seymour Hoffman,
1/13/2003,Kathy Bates,
1/14/2003,Michael Moore,
1/15/2003,Dave Chappelle,
1/16/2003,Joseph Lieberman,
1/20/2003,Merv Griffin,
1/21/2003,Simon Cowell,
1/22/2003,John C. Reilly,
1/23/2003,Jimmy Kimmel,
1/27/2003,Rosie Perez,
1/28/2003,Bill Moyers,
1/29/2003,Jeff Greenfield,
1/30/2003,Laurence Fishburne,
2/3/2003,Doug Wilson,
2/4/2003,Kate Hudson,
2/5/2003,Arianna Huffington,
2/6/2003,David Frum,
2/10/2003,Joe Klein,
2/11/2003,Bebe Neuwirth,
2/12/2003,Michael Clarke Duncan,
2/13/2003,Ben Affleck,
2/18/2003,Steve Kroft,
2/19/2003,Jeff Daniels,
2/20/2003,Luke Wilson,
3/3/2003,Eric Idle,
3/4/2003,Walter Isaacson,
3/5/2003,Adrien Brody,
3/6/2003,David Cross,
3/10/2003,Leslie Gelb,
3/11/2003,Colin Quinn,
3/12/2003,Dick Gephardt,
3/13/2003,Tom Cavanagh,
3/17/2003,Eric Alterman,
3/18/2003,Jason Lee,
3/19/2003,John Hulsman,
3/20/2003,Eddie Griffin,
3/24/2003,Jim Kelly,
3/25/2003,Connie Nielsen,
3/26/2003,Ringo Starr,
3/27/2003,Hilary Swank,
3/31/2003,Chris Rock,
4/1/2003,Anthony Swofford,
4/2/2003,Kelly Preston,
4/3/2003,Colin Farrell,
4/7/2003,Martha Burk,
4/8/2003,Susan Sarandon,
4/9/2003,Ambassador David Scheffer,
4/10/2003,Dennis Miller,
4/21/2003,Patrick Stewart,
4/22/2003,Rachel Weisz,
4/23/2003,Richard Lewis,
4/24/2003,Fareed Zakaria,
4/28/2003,Dr. Sanjay Gupta,
4/29/2003,Julia Louis-Dreyfus,
4/30/2003,John Malkovich,
5/1/2003,Famke Janssen,
5/5/2003,Chris Matthews,
5/6/2003,Caroline Kennedy,
5/7/2003,Graham Norton,
5/8/2003,Paul Rudd,
5/12/2003,Randy Jackson,
5/13/2003,Joshua Jackson,
5/14/2003,Diane Ravitch,
5/15/2003,Michael Kinsley,
5/26/2003,Iraq - A Look Baq,
5/27/2003,William Kristol,
5/28/2003,Lisa Ling,
5/29/2003,David Halberstam,
6/2/2003,Bill Hemmer,
6/3/2003,Eddie Izzard,
6/4/2003,Madeleine Albright,
6/5/2003,Tyrese Gibson,
6/9/2003,Guy Pearce,
6/10/2003,Newt Gingrich,
6/11/2003,Sidney Blumenthal,
6/12/2003,Ludacris,
6/16/2003,Harrison Ford,
6/17/2003,Lewis Lapham,
6/18/2003,Kelly Clarkson,
6/19/2003,Ron Livingston,
